Id,Id2,geography,pop,moe
0500000US26001,26001,"Alcona County, Michigan",10657,*****
0500000US26003,26003,"Alger County, Michigan",9516,*****
0500000US26005,26005,"Allegan County, Michigan",112266,*****
0500000US26007,26007,"Alpena County, Michigan",29242,*****
0500000US26009,26009,"Antrim County, Michigan",23368,*****
0500000US26011,26011,"Arenac County, Michigan",15564,*****
0500000US26013,26013,"Baraga County, Michigan",8740,*****
0500000US26015,26015,"Barry County, Michigan",59107,*****
0500000US26017,26017,"Bay County, Michigan",107074,*****
0500000US26019,26019,"Benzie County, Michigan",17450,*****
0500000US26021,26021,"Berrien County, Michigan",155992,*****
0500000US26023,26023,"Branch County, Michigan",43965,*****
0500000US26025,26025,"Calhoun County, Michigan",135150,*****
0500000US26027,26027,"Cass County, Michigan",52001,*****
0500000US26029,26029,"Charlevoix County, Michigan",26038,*****
0500000US26031,26031,"Cheboygan County, Michigan",25821,*****
0500000US26033,26033,"Chippewa County, Michigan",38698,*****
0500000US26035,26035,"Clare County, Michigan",30786,*****
0500000US26037,26037,"Clinton County, Michigan",76479,*****
0500000US26039,26039,"Crawford County, Michigan",13941,*****
0500000US26041,26041,"Delta County, Michigan",36841,*****
0500000US26043,26043,"Dickinson County, Michigan",26097,*****
0500000US26045,26045,"Eaton County, Michigan",108081,*****
0500000US26047,26047,"Emmet County, Michigan",32922,*****
0500000US26049,26049,"Genesee County, Michigan",418654,*****
0500000US26051,26051,"Gladwin County, Michigan",25599,*****
0500000US26053,26053,"Gogebic County, Michigan",16042,*****
0500000US26055,26055,"Grand Traverse County, Michigan",88981,*****
0500000US26057,26057,"Gratiot County, Michigan",42057,*****
0500000US26059,26059,"Hillsdale County, Michigan",46282,*****
0500000US26061,26061,"Houghton County, Michigan",36739,*****
0500000US26063,26063,"Huron County, Michigan",32525,*****
0500000US26065,26065,"Ingham County, Michigan",282562,*****
0500000US26067,26067,"Ionia County, Michigan",63976,*****
0500000US26069,26069,"Iosco County, Michigan",25504,*****
0500000US26071,26071,"Iron County, Michigan",11615,*****
0500000US26073,26073,"Isabella County, Michigan",70506,*****
0500000US26075,26075,"Jackson County, Michigan",159927,*****
0500000US26077,26077,"Kalamazoo County, Michigan",254870,*****
0500000US26079,26079,"Kalkaska County, Michigan",17204,*****
0500000US26081,26081,"Kent County, Michigan",615381,*****
0500000US26083,26083,"Keweenaw County, Michigan",2197,*****
0500000US26085,26085,"Lake County, Michigan",11431,*****
0500000US26087,26087,"Lapeer County, Michigan",88155,*****
0500000US26089,26089,"Leelanau County, Michigan",21739,*****
0500000US26091,26091,"Lenawee County, Michigan",99257,*****
0500000US26093,26093,"Livingston County, Michigan",183264,*****
0500000US26095,26095,"Luce County, Michigan",6512,*****
0500000US26097,26097,"Mackinac County, Michigan",11080,*****
0500000US26099,26099,"Macomb County, Michigan",849344,*****
0500000US26101,26101,"Manistee County, Michigan",24545,*****
0500000US26103,26103,"Marquette County, Michigan",67535,*****
0500000US26105,26105,"Mason County, Michigan",28705,*****
0500000US26107,26107,"Mecosta County, Michigan",43226,*****
0500000US26109,26109,"Menominee County, Michigan",23838,*****
0500000US26111,26111,"Midland County, Michigan",83620,*****
0500000US26113,26113,"Missaukee County, Michigan",14986,*****
0500000US26115,26115,"Monroe County, Michigan",150851,*****
0500000US26117,26117,"Montcalm County, Michigan",63046,*****
0500000US26119,26119,"Montmorency County, Michigan",9506,*****
0500000US26121,26121,"Muskegon County, Michigan",171328,*****
0500000US26123,26123,"Newaygo County, Michigan",48126,*****
0500000US26125,26125,"Oakland County, Michigan",1220798,*****
0500000US26127,26127,"Oceana County, Michigan",26325,*****
0500000US26129,26129,"Ogemaw County, Michigan",21373,*****
0500000US26131,26131,"Ontonagon County, Michigan",6448,*****
0500000US26133,26133,"Osceola County, Michigan",23327,*****
0500000US26135,26135,"Oscoda County, Michigan",8525,*****
0500000US26137,26137,"Otsego County, Michigan",24126,*****
0500000US26139,26139,"Ottawa County, Michigan",269795,*****
0500000US26141,26141,"Presque Isle County, Michigan",13128,*****
0500000US26143,26143,"Roscommon County, Michigan",24141,*****
0500000US26145,26145,"Saginaw County, Michigan",197727,*****
0500000US26147,26147,"St. Clair County, Michigan",161008,*****
0500000US26149,26149,"St. Joseph County, Michigan",60998,*****
0500000US26151,26151,"Sanilac County, Michigan",42301,*****
0500000US26153,26153,"Schoolcraft County, Michigan",8345,*****
0500000US26155,26155,"Shiawassee County, Michigan",69553,*****
0500000US26157,26157,"Tuscola County, Michigan",54795,*****
0500000US26159,26159,"Van Buren County, Michigan",75569,*****
0500000US26161,26161,"Washtenaw County, Michigan",351454,*****
0500000US26163,26163,"Wayne County, Michigan",1790078,*****
0500000US26165,26165,"Wexford County, Michigan",32699,*****
